--, IBI
2092.111390,0.781286
2092.877050,0.765660
2093.658336,0.781286
2094.439621,0.781286
2095.220907,0.781286
2096.002193,0.781286
2096.767853,0.765660
2097.564764,0.796911
2098.377302,0.812537
2099.142962,0.765660
2099.939873,0.796911
2100.752410,0.812537
2101.533696,0.781286
2102.314982,0.781286
2103.111893,0.796911
2103.908805,0.796911
2104.705716,0.796911
2105.487002,0.781286
2106.283914,0.796911
2107.065199,0.781286
2107.846485,0.781286
2108.643397,0.796911
2109.409057,0.765660
2110.190342,0.781286
2110.971628,0.781286
2111.737288,0.765660
2112.502948,0.765660
2113.284234,0.781286
2114.049894,0.765660
2114.846806,0.796911
2115.596840,0.750034
2116.362500,0.765660
2117.143786,0.781286
2117.893820,0.750034
2118.690732,0.796911
2119.440766,0.750034
2120.206426,0.765660
2120.972086,0.765660
2133.300775,0.781286
2134.082061,0.781286
2134.894598,0.812537
2135.675884,0.781286
2136.488421,0.812537
2137.285333,0.796911
2138.082244,0.796911
2161.489566,0.781286
2162.255226,0.765660
2163.020886,0.765660
2163.895926,0.875040
2164.630334,0.734409
2169.989955,0.781286
2170.755615,0.765660
2171.536901,0.781286
2172.286935,0.750034
2173.083846,0.796911
2173.865132,0.781286
2174.662044,0.796911
2175.443329,0.781286
2176.240241,0.796911
2177.037152,0.796911
2192.287850,0.718783
2193.022259,0.734409
2193.787919,0.765660
2194.569205,0.781286
2200.788239,0.765660
2201.553900,0.765660
2202.366437,0.812537
2203.163348,0.796911
2203.929008,0.765660
2204.725920,0.796911
2205.538457,0.812537
2206.335368,0.796911
2207.132280,0.796911
2207.944817,0.812537
2208.726103,0.781286
2209.538640,0.812537
2210.366803,0.828163
2211.148089,0.781286
2211.976252,0.828163
2212.788789,0.812537
2213.616952,0.828163
2214.398237,0.781286
2215.210775,0.812537
2216.054563,0.843789
2216.882726,0.828163
2217.664012,0.781286
2218.492175,0.828163
2219.320338,0.828163
2220.132875,0.812537
2220.914161,0.781286
2221.711072,0.796911
2222.539235,0.828163
2235.164813,0.812537
2253.243766,0.796911
2277.104233,0.750034
2277.823016,0.718783
2278.557424,0.734409
2279.307459,0.750034
2280.026242,0.718783
2280.760650,0.734409
2281.495059,0.734409
2286.026516,0.765660
2286.807802,0.781286
2287.557836,0.750034
2288.354748,0.796911
2289.120408,0.765660
2289.886068,0.765660
2290.651728,0.765660
2291.417388,0.765660
2292.198674,0.781286
2292.964334,0.765660
2293.729994,0.765660
2297.542668,0.750034
2298.308328,0.765660
2299.073988,0.765660
2299.839648,0.765660
2300.605309,0.765660
2301.370969,0.765660
2302.136629,0.765660
2302.917914,0.781286
2303.683574,0.765660
2304.464860,0.781286
2305.214895,0.750034
2305.996180,0.781286
2306.761840,0.765660
2307.527500,0.765660
2308.293160,0.765660
2309.058820,0.765660
2309.808855,0.750034
2310.558889,0.750034
2311.293298,0.734409
2312.058958,0.765660
2312.793366,0.734409
2313.543401,0.750034
2314.277809,0.734409
2315.043469,0.765660
2315.777878,0.734409
2316.527912,0.750034
2317.277947,0.750034
2317.996730,0.718783
2318.778015,0.781286
2319.528050,0.750034
2320.262458,0.734409
2321.028118,0.765660
2321.778153,0.750034
2322.528187,0.750034
2323.309473,0.781286
2324.090759,0.781286
2324.856419,0.765660
2325.622079,0.765660
2326.372113,0.750034
2327.169024,0.796911
2327.934685,0.765660
2328.669093,0.734409
2329.450379,0.781286
2330.216039,0.765660
2330.981699,0.765660
2331.747359,0.765660
2332.497393,0.750034
2333.247428,0.750034
2334.028713,0.781286
2334.778748,0.750034
2335.528782,0.750034
2336.278816,0.750034
2337.060102,0.781286
2337.794511,0.734409
2338.560171,0.765660
2339.325831,0.765660
2340.107117,0.781286
2340.857151,0.750034
2341.575934,0.718783
2342.310343,0.734409
2343.076003,0.765660
2343.810411,0.734409
2344.576071,0.765660
2345.310480,0.734409
2346.060514,0.750034
2346.779297,0.718783
2347.529331,0.750034
2348.279366,0.750034
2360.811189,0.750034
2361.561224,0.750034
2362.326884,0.765660
2363.076918,0.750034
2363.873830,0.796911
2364.623864,0.750034
2365.405150,0.781286
2366.186435,0.781286
2373.139879,0.734409
2373.921165,0.781286
2374.718076,0.796911
2375.514987,0.796911
2376.311899,0.796911
2377.108810,0.796911
2377.905722,0.796911
2378.687008,0.781286
2379.546422,0.859414
2380.312082,0.765660
2381.093368,0.781286
2381.905905,0.812537
2382.734068,0.828163
2383.515354,0.781286
2384.327891,0.812537
2385.124802,0.796911
2385.921714,0.796911
2386.718625,0.796911
2387.515537,0.796911
2388.312448,0.796911
2389.109360,0.796911
2389.890646,0.781286
2390.671931,0.781286
2391.468843,0.796911
2392.250129,0.781286
2393.015789,0.765660
2393.812700,0.796911
2394.609612,0.796911
2395.390897,0.781286
2396.187809,0.796911
2396.984720,0.796911
2397.781632,0.796911
2398.562917,0.781286
2399.344203,0.781286
2400.141115,0.796911
2400.938026,0.796911
2401.734938,0.796911
2402.516223,0.781286
2403.313135,0.796911
2411.297875,0.781286
2412.094787,0.796911
2412.876073,0.781286
2413.657358,0.781286
2414.438644,0.781286
2415.204304,0.765660
2415.969964,0.765660
2424.720365,0.812537
2425.548528,0.828163
2426.345439,0.796911
2432.830111,0.812537
2433.627023,0.796911
2434.439560,0.812537
2435.252097,0.812537
2436.064634,0.812537
2436.877171,0.812537
2437.658457,0.781286
